lat,lon,dbh_in,condition,height_m,match_distance_m
40.781570,-73.972184,3,Dead,15.5,0.78
40.787233,-73.979183,14,Dead,16.1,2.36
40.781531,-73.976755,17,Fair,16.4,2.11
40.778278,-73.976657,11,Fair,10.6,1.76
40.787838,-73.978477,15,Critical,9.9,2.97
40.787125,-73.951706,19,Good,14.8,2.61
40.766188,-73.958057,11,Good,14.2,3.01
40.792090,-73.969617,13,Fair,14.0,0.77
40.792410,-73.970266,0,Dead,14.3,2.13
40.796571,-73.967900,22,Good,19.1,2.97
40.797357,-73.967778,26,Good,17.1,2.93
40.769288,-73.953337,13,Fair,13.1,0.78
40.796526,-73.967791,23,Fair,20.8,3.40
40.797487,-73.967683,15,Good,15.3,3.24
40.797009,-73.968032,20,Good,16.0,4.37
40.792300,-73.970115,11,Fair,12.7,0.82
40.796781,-73.968198,20,Good,15.6,2.15
40.769023,-73.952989,15,Good,22.4,2.01
40.796480,-73.967683,10,Fair,20.6,2.52
40.792179,-73.969829,11,Fair,12.5,2.25
40.796660,-73.968110,24,Dead,15.9,3.18
40.798474,-73.965394,3,Good,8.8,14.72
40.797559,-73.967631,16,Good,14.7,4.18
40.792390,-73.970205,0,Dead,15.3,2.06
40.797086,-73.967976,20,Good,16.0,3.98
40.792143,-73.969743,14,Fair,14.8,2.76
40.796859,-73.968141,18,Good,14.2,3.22
40.796614,-73.968002,20,Dead,17.1,5.25
40.797280,-73.967834,21,Good,17.7,3.05
40.792219,-73.969924,13,Good,13.3,2.00
40.796935,-73.968086,20,Good,16.9,2.78
40.797412,-73.967738,16,Good,14.2,3.53
40.782447,-73.974942,21,Good,21.6,2.51
40.784007,-73.972230,10,Fair,10.3,2.18
40.782859,-73.973925,4,Poor,18.6,2.10
40.784763,-73.970346,11,Poor,7.1,2.21
40.782834,-73.974699,5,Good,9.3,2.52
40.784220,-73.972737,13,Good,13.9,2.10
40.787628,-73.968759,13,Fair,13.4,1.67
40.790063,-73.969380,17,Good,12.7,2.98
40.784899,-73.972379,14,Unknown,12.6,0.31
40.782725,-73.974778,3,Good,25.4,2.98
40.782753,-73.973743,18,Fair,21.4,3.85
40.798494,-73.971146,4,Fair,5.2,8.46
40.784055,-73.972344,11,Good,28.2,2.35
40.784845,-73.970282,4,Dead,8.7,8.40
40.782672,-73.974778,0,Dead,21.5,4.14
40.782702,-73.973624,15,Good,20.0,2.08
40.782805,-73.974681,18,Dead,27.4,4.47
40.782194,-73.975126,24,Dead,24.0,1.53
40.790027,-73.969446,6,Fair,12.8,2.84
40.787582,-73.968650,16,Poor,12.2,2.80
40.781522,-73.975615,16,Good,19.9,3.38
40.789940,-73.968762,20,Good,14.2,1.11
40.799214,-73.966423,27,Fair,13.6,1.69
40.781687,-73.975496,26,Good,18.3,2.06
40.787323,-73.969999,14,Good,12.6,1.62
40.789752,-73.969651,7,Dead,7.0,2.92
40.791153,-73.967413,12,Good,16.9,3.53
40.782954,-73.974228,4,Poor,19.0,2.82
40.789916,-73.968369,15,Good,20.3,3.08
40.782678,-73.973497,3,Good,2.6,0.71
40.782289,-73.972644,5,Good,6.2,4.54
40.782346,-73.972710,20,Poor,15.0,1.07
40.782181,-73.972390,14,Dead,16.1,0.90
40.781771,-73.975473,3,Unknown,18.8,5.49
40.789778,-73.969593,15,Good,11.7,3.07
40.784821,-73.970483,11,Fair,10.0,1.37
40.799357,-73.971244,10,Good,10.2,1.62
40.782404,-73.974973,24,Fair,23.2,1.64
40.789944,-73.966495,11,Good,9.8,0.83
40.782402,-73.972913,20,Good,14.9,4.20
40.783933,-73.972054,14,Fair,13.2,0.38
40.789977,-73.968851,21,Good,14.4,2.77
40.782583,-73.973271,6,Good,3.1,1.27
40.776684,-73.959984,7,Unknown,10.4,1.51
40.783365,-73.972932,13,Fair,12.4,1.06
40.785571,-73.972008,7,Good,17.8,4.02
40.787702,-73.969222,14,Fair,12.8,1.51
40.782781,-73.973810,17,Fair,21.3,3.00
40.787759,-73.969069,12,Fair,14.1,2.57
40.782321,-73.975034,27,Good,19.1,2.99
40.783659,-73.971661,12,Fair,8.3,2.26
40.782715,-73.974747,20,Dead,25.4,0.21
40.781106,-73.975919,16,Fair,17.4,3.96
40.781560,-73.975588,25,Good,20.1,1.43
40.782368,-73.972832,5,Good,16.5,3.42
40.784690,-73.971880,13,Fair,12.3,1.06
40.789830,-73.968498,24,Good,16.8,2.53
40.788113,-73.969906,16,Dead,9.9,2.46
40.787367,-73.970103,0,Dead,13.3,0.77
40.781363,-73.975770,4,Dead,24.3,6.75
40.787260,-73.969851,18,Good,16.1,0.63
40.782631,-73.973456,22,Good,19.8,2.02
40.787446,-73.970546,16,Good,13.4,2.60
40.782064,-73.975221,21,Good,21.3,3.10
40.782931,-73.974589,17,Good,14.6,3.52
40.786441,-73.969855,13,Fair,15.8,2.42
40.781312,-73.975768,30,Good,25.0,3.94
40.789841,-73.969585,6,Dead,5.8,1.92
40.784997,-73.972612,12,Poor,7.7,2.81
40.789796,-73.968085,14,Good,14.0,1.38
40.785405,-73.971612,7,Good,10.0,7.55
40.782536,-73.974877,25,Good,27.7,3.11
40.781759,-73.975443,24,Good,17.5,3.25
40.787707,-73.968946,13,Fair,10.2,1.29
40.782804,-73.973864,18,Good,19.9,2.17
40.782153,-73.975156,21,Good,23.9,4.17
40.787566,-73.968901,19,Dead,14.6,1.50
40.782727,-73.973681,18,Good,21.4,2.97
40.798820,-73.971916,10,Good,10.2,3.48
40.783577,-73.971467,11,Fair,9.3,2.43
40.784139,-73.972546,14,Good,13.1,0.77
40.782204,-73.972443,21,Good,18.3,2.28
40.798729,-73.971451,14,Fair,13.0,2.55
40.782255,-73.972564,21,Good,16.6,0.91
40.781477,-73.975648,24,Good,16.5,3.69
40.782391,-73.972816,2,Good,16.5,5.03
40.782252,-73.975123,3,Poor,19.7,3.67
40.787912,-73.969717,12,Fair,12.1,1.01
40.785451,-73.971723,14,Good,12.9,0.72
40.787216,-73.969747,16,Fair,13.5,1.98
40.784736,-73.972245,14,Fair,14.4,2.11
40.782107,-73.975190,29,Good,26.2,4.67
40.782587,-73.974840,22,Good,28.8,3.01
40.782679,-73.973569,18,Good,17.5,2.51
40.787557,-73.970554,13,Good,14.9,1.51
40.780847,-73.976107,22,Good,20.1,2.59
40.782854,-73.973983,19,Fair,19.3,2.59
40.790027,-73.968635,16,Good,14.9,1.19
40.789786,-73.968393,18,Good,13.4,2.37
40.785036,-73.970994,17,Fair,19.6,3.23
40.789080,-73.968586,14,Fair,9.9,2.39
40.788169,-73.970038,19,Fair,14.1,1.24
40.782656,-73.973513,19,Fair,20.8,2.77
40.789841,-73.968190,13,Good,10.5,2.21
40.785033,-73.970728,10,Poor,8.3,1.89
40.782582,-73.973338,11,Good,9.3,1.31
40.784815,-73.970210,5,Dead,8.7,10.69
40.784169,-73.972870,12,Good,13.9,2.52
40.782829,-73.973924,17,Good,21.1,2.20
40.774642,-73.965334,16,Unknown,11.9,1.62
40.787012,-73.969263,13,Fair,11.3,0.89
40.782847,-73.974651,20,Good,15.9,2.66
40.787659,-73.968833,17,Dead,10.5,4.07
40.782429,-73.972976,22,Good,18.9,1.24
40.782153,-73.972322,15,Poor,16.2,0.53
40.789967,-73.969452,15,Good,12.7,2.43
40.782023,-73.975251,27,Dead,21.3,2.15
40.781617,-73.975585,5,Good,17.3,1.23
40.784261,-73.972835,15,Good,14.0,2.16
40.781438,-73.975676,19,Fair,18.9,0.59
40.790119,-73.969377,3,Unknown,13.3,2.38
40.787777,-73.969399,12,Critical,12.1,1.55
40.784777,-73.972341,13,Dead,10.5,0.66
40.782230,-73.972507,23,Good,20.4,0.99
40.789687,-73.969660,18,Good,13.7,2.18
40.791936,-73.965101,5,Fair,14.0,12.30
40.784793,-73.972125,15,Fair,12.9,3.50
40.784087,-73.972420,7,Good,2.4,1.20
40.782280,-73.975064,18,Good,19.7,2.31
40.787172,-73.969895,16,Fair,15.0,1.41
40.782630,-73.973383,3,Dead,16.1,1.21
40.782339,-73.972763,7,Good,15.0,3.52
40.782631,-73.974808,0,Dead,21.5,1.03
40.785073,-73.970823,14,Good,12.0,1.91
40.782360,-73.975005,18,Good,21.4,4.56
40.798690,-73.971609,12,Unknown,9.5,2.54
40.786701,-73.955164,4,Unknown,4.7,1.38
40.781187,-73.975859,28,Good,24.9,3.89
40.783852,-73.971860,12,Fair,10.3,4.15
40.788025,-73.969698,12,Fair,15.9,2.67
40.799369,-73.966311,5,Good,2.4,1.87
40.789285,-73.968746,22,Good,14.7,1.38
40.789904,-73.968675,18,Fair,12.0,3.13
40.781646,-73.975525,17,Good,19.3,1.25
40.792097,-73.975368,17,Dead,43.9,2.70
40.788865,-73.951811,5,Good,15.9,5.54
40.787917,-73.951968,11,Good,12.2,0.27
40.788860,-73.951092,5,Fair,4.5,0.98
40.779654,-73.976227,18,Unknown,13.5,1.98
40.789690,-73.950488,7,Poor,3.5,1.56
40.779330,-73.960041,1,Unknown,4.5,8.45
40.790149,-73.950155,7,Good,6.1,0.35
40.781793,-73.977078,10,Unknown,10.7,4.33
40.787984,-73.952125,9,Fair,7.8,1.72
40.775175,-73.949587,15,Good,14.4,3.18
40.772578,-73.959198,12,Unknown,9.5,2.12
